标题,地块编号,省份,城市,总面积,建设用地面积,规划建筑面积,代征面积,容积率,绿化率,商业比例,建筑密度,限制高度,出让形式,出让年限,位置,四至,规划用途,交易状况,竞得方,起始日期,截止日期,成交日期,交易低点,起始价,成交价,楼面地价,溢价率,土地公告,咨询电话,保证金,最小加价幅度,
温江区天府街道青泰社区6、7、8、9组,地块编号：WJ2016-22(221),四川,成都,61157,61157,61157,暂无,≥1,≤20,暂无,≥40,暂无,挂牌,50年,温江区天府街道青泰社区6、7、8、9组,温江区天府街道青泰社区6、7、8、9组,工业用地,未成交,暂无,2016/10/31,2016/11/14,暂无,成都市温江区锦绣大道南段43号天府智谷C栋3楼,1835万元,暂无,暂无,暂无,温江区天府街道青泰社区6、7、8、土地公告,http://industrydown.fang.com/tudi/20161114/wengongzituguagao[2016]3hao.docx,暂无,920万元,91.7361
武侯区红牌楼街道太平村1、7组,地块编号：WH06(252):2016-035,四川,成都,10651,10651,20237,暂无,≤1.9,暂无,≤10,≤28,≤27,拍卖,住宅用地70年商业用地40年,武侯区红牌楼街道太平村1、7组,武侯区红牌楼街道太平村1、7组,城镇混合住宅用地,未成交,暂无,2016/11/11,2016/11/11,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,11130万元,暂无,暂无,暂无,武侯区红牌楼街道太平村1、7组土地公告,http://industrydown.fang.com/tudi/20161024/chenggongzitupaigao[2016]38hao.docx,028-85987887,2300万元,暂无
锦江区三圣街道粉房堰村6、11组，红砂村5、6组地块,地块编号：JJ06(21/252):2016-040,四川,成都,25494,25494,114724,暂无,≤4.5,暂无,≤50,≤40,≤313,拍卖,商业用地40年，住宅用地70年,锦江区三圣街道粉房堰村6、11组，红砂村5、6组地块,锦江区三圣街道粉房堰村6、11组，红砂村5、6组地块,商服用地，城镇混合住宅用地,已成交,成都佳逊投资有限公司,2016/11/11,2016/11/11,2016/11/11,成都市高新区天府大道北段966号天府国际金融中心7号楼,30597万元,59657万元,5200元,94.98%,锦江区三圣街道粉房堰村6、11组，土地公告,http://industrydown.fang.com/tudi/20161024/chenggongzitupaigao[2016]38hao.docx,028-85987887,6200万元,暂无
都江堰市玉堂镇永固社区,地块编号：DJY2016-26（214）,四川,成都,258162,258162,464691,暂无,≤1.8,暂无,暂无,≤75,≤100,挂牌,商业40年,都江堰市玉堂镇永固社区,都江堰市玉堂镇永固社区,其他商服用地,已成交,大连万达商业地产股份有限公司,2016/10/24,2016/11/8,2016/11/8,成都市高新区天府大道北段966号天府国际金融中心7号楼,12779万元,12779万元,275元,暂无,都江堰市玉堂镇永固社区土地公告,http://industrydown.fang.com/tudi/20161008/chenggongzituguagao[2016]26hao.docx,028-85987887,6400万元,暂无
都江堰市玉堂镇宝瓶社区、永固社区、中兴镇永胜社区,地块编号：DJY2016-25（214）,四川,成都,531755,531755,212702,暂无,≤0.4,暂无,暂无,≤30,≤120,挂牌,商业40年,都江堰市玉堂镇宝瓶社区、永固社区、中兴镇永胜社区,都江堰市玉堂镇宝瓶社区、永固社区、中兴镇永胜社区,其他商服用地,已成交,大连万达商业地产股份有限公司,2016/10/24,2016/11/8,2016/11/8,成都市高新区天府大道北段966号天府国际金融中心7号楼,22334万元,22334万元,1050元,暂无,都江堰市玉堂镇宝瓶社区、永固社区、土地公告,http://industrydown.fang.com/tudi/20161008/chenggongzituguagao[2016]26hao.docx,028-85987887,12000万元,暂无
都江堰市玉堂镇永康社区、宝瓶社区,地块编号：DJY2016-23（211）,四川,成都,53531,53531,96355,暂无,≤1.8,暂无,暂无,≤60,≤70,挂牌,商业40年,都江堰市玉堂镇永康社区、宝瓶社区,都江堰市玉堂镇永康社区、宝瓶社区,商业用地,已成交,大连万达商业地产股份有限公司,2016/10/24,2016/11/8,2016/11/8,成都市高新区天府大道北段966号天府国际金融中心7号楼,3854万元,3854万元,400元,暂无,都江堰市玉堂镇永康社区、宝瓶社区土地公告,http://industrydown.fang.com/tudi/20161008/chenggongzituguagao[2016]26hao.docx,028-85987887,2000万元,暂无
都江堰市玉堂镇永康社区、永固社区,地块编号：DJY2016-24（211/214）,四川,成都,186238,186238,130367,暂无,≤0.7,暂无,暂无,≤40,≤80,挂牌,商业40年,都江堰市玉堂镇永康社区、永固社区,都江堰市玉堂镇永康社区、永固社区,商业用地、其他商服用地,已成交,大连万达商业地产股份有限公司,2016/10/24,2016/11/8,2016/11/8,成都市高新区天府大道北段966号天府国际金融中心7号楼,10057万元,10057万元,771元,暂无,都江堰市玉堂镇永康社区、永固社区土地公告,http://industrydown.fang.com/tudi/20161008/chenggongzituguagao[2016]26hao.docx,028-85987887,5100万元,暂无
成华区驷马桥路11号旧城改造土地,地块编号：CH14（252/21）：2016-044,四川,成都,20847,20847,72541,暂无,-,暂无,≤10,二类住宅用地：≤22；商业服务业设施用地：≤48,≤807（绝对海拔高程）,拍卖,住宅用地70年、商业用地40年,成华区驷马桥路11号旧城改造土地,成华区驷马桥路11号旧城改造土地,城镇混合住宅用地、商服用地,已成交,成都永进合能房地产有限公司,2016/11/1,2016/11/1,2016/11/1,成都市高新区天府大道北段966号天府国际金融中心7号楼,27667万元,42219万元,5820元,52.60%,成华区驷马桥路11号旧城改造土地土地公告,http://industrydown.fang.com/tudi/20161010/chenggongzitupaigao[2016]37hao.docx,028-85987887,5600万元,暂无
金牛区金泉街道淳风社区集体经营合作社,地块编号：JN09（21/252）：2016-037,四川,成都,23939,23939,24178,暂无,≥1且≤1.01,暂无,≤50,≤60（建筑高度小于15米）,≤9.12,拍卖,商业用地40年、住宅用地70年,金牛区金泉街道淳风社区集体经营合作社,金牛区金泉街道淳风社区集体经营合作社,商服用地、城镇混合住宅用地,已成交,成都保鑫投资有限公司,2016/11/1,2016/11/1,2016/11/1,成都市高新区天府大道北段966号天府国际金融中心7号楼,14362万元,29352万元,12140元,104.38%,金牛区金泉街道淳风社区集体经营合作土地公告,http://industrydown.fang.com/tudi/20161010/chenggongzitupaigao[2016]37hao.docx,028-85987887,2900万元,暂无
金牛区金泉街道侯家桥社区一组、富家社区九组、兴盛社区三组,地块编号：JN10（252）：2016-038,四川,成都,38215,38215,114643,暂无,＞1且≤3,暂无,≤10,≤22,≤113,拍卖,住宅用地70年商业用地40年,金牛区金泉街道侯家桥社区一组、富家社区九组、兴盛社区三组,金牛区金泉街道侯家桥社区一组、富家社区九组、兴盛社区三组,城镇混合住宅用地,已成交,成都长虹置业有限公司,2016/11/1,2016/11/1,2016/11/1,成都市高新区天府大道北段966号天府国际金融中心7号楼,31447万元,94580万元,8250元,200.77%,金牛区金泉街道侯家桥社区一组、富家土地公告,http://industrydown.fang.com/tudi/20161010/chenggongzitupaigao[2016]37hao.docx,028-85987887,6300万元,暂无
武侯区红牌楼街道太平村三组,地块编号：WH07（252/211）：2016-036,四川,成都,7071,7071,12728,暂无,≤1.8,暂无,≤50,≤30,≤24,拍卖,住宅用地70年，商业用地40年,武侯区红牌楼街道太平村三组,武侯区红牌楼街道太平村三组,城镇混合住宅用地，商业用地,已成交,成都金房集团有限公司,2016/11/1,2016/11/1,2016/11/1,成都市高新区天府大道北段966号天府国际金融中心7号楼,7000万元,15274万元,12000元,118.18%,武侯区红牌楼街道太平村三组土地公告,http://industrydown.fang.com/tudi/20161010/chenggongzitupaigao[2016]37hao.docx,028-85987887,1450万元,暂无
成华区保和街道办事处东桂社区4组、东虹路社区13组,地块编号：CH12（252/21）：2016-042,四川,成都,17523,17523,70090,暂无,≤4,暂无,≥30且≤49,≤20,≤80,拍卖,住宅用地70年、商业用地40年,成华区保和街道办事处东桂社区4组、东虹路社区13组,成华区保和街道办事处东桂社区4组、东虹路社区13组,城镇混合住宅用地、商服用地,已成交,成都德商置业有限公司,2016/11/1,2016/11/1,2016/11/1,成都市高新区天府大道北段966号天府国际金融中心7号楼,23999万元,71842万元,10250元,199.36%,成华区保和街道办事处东桂社区4组、土地公告,http://industrydown.fang.com/tudi/20161010/chenggongzitupaigao[2016]37hao.docx,028-85987887,4800万元,暂无
成华区龙潭街道秀水社区3组，保平社区10组,地块编号：CH13(252):2016-043,四川,成都,52315,52315,198797,暂无,≤3.8,暂无,≤10,≤20,≤835（绝对海拔高程）,拍卖,住宅用地70年，商业用地40年,成华区龙潭街道秀水社区3组，保平社区10组,成华区龙潭街道秀水社区3组，保平社区10组,城镇混合住宅用地,已成交,重庆首金房地产开发有限公司,2016/11/1,2016/11/1,2016/11/1,成都市高新区天府大道北段966号天府国际金融中心7号楼,65921万元,125242万元,6300元,89.99%,成华区龙潭街道秀水社区3组，保平社土地公告,http://industrydown.fang.com/tudi/20161010/chenggongzitupaigao[2016]37hao.docx,028-85987887,14000万元,暂无
成都市双流区东升街道长兴社区6组、集体,地块编号：SLG-(2016)-033,四川,成都,50309,50309,50309,暂无,＞1,暂无,暂无,暂无,暂无,挂牌,50年,成都市双流区东升街道长兴社区6组、集体,成都市双流区东升街道长兴社区6组、集体,机场用地,已成交,中国商用飞机有限责任公司四川分公司,2016/10/18,2016/11/1,2016/11/1,成都市双流区公共资源交易服务中心,4333万元,4333万元,861元,暂无,成都市双流区东升街道长兴社区6组、土地公告,http://industrydown.fang.com/tudi/20161024/shuanggongzituguagao[2016]8hao.docx,暂无,3100万元,1
青白江区同辉路以西、西林路以北,地块编号：QBJ2016-34,四川,成都,10446,10446,10446,暂无,≥1,≤20,暂无,≥40,暂无,挂牌,50年,青白江区同辉路以西、西林路以北,青白江区同辉路以西、西林路以北,工业用地,已成交,四川科迈斯电器有限公司,2016/10/17,2016/10/31,2016/10/31,成都市青白江区凤凰大道二段便民路6号（新政务服务中心四楼）,313万元,313万元,300元,暂无,青白江区同辉路以西、西林路以北土地公告,http://industrydown.fang.com/tudi/20161008/qinggongzituguagao[2016]5hao.docx,暂无,70万元,暂无
弥牟镇国光路以北、东风路以西,地块编号：QBJ2016-30,四川,成都,80924,80924,80924,暂无,≥1,≤20,暂无,≥35,暂无,挂牌,50年,弥牟镇国光路以北、东风路以西,弥牟镇国光路以北、东风路以西,仓储用地,已成交,丰青仓储（成都）有限公司,2016/10/17,2016/10/31,2016/10/31,成都市青白江区凤凰大道二段便民路6号（新政务服务中心四楼）,4613万元,4613万元,570元,暂无,弥牟镇国光路以北、东风路以西土地公告,http://industrydown.fang.com/tudi/20161008/qinggongzituguagao[2016]5hao.docx,暂无,930万元,暂无
祥福镇桂通村1、12、14组,地块编号：QBJ2016-14,四川,成都,115433,115433,115433,暂无,≥1,≤20,暂无,≥40,暂无,挂牌,50年,祥福镇桂通村1、12、14组,祥福镇桂通村1、12、14组,工业用地,已成交,成都金言实业有限公司,2016/10/17,2016/10/31,2016/10/31,成都市青白江区凤凰大道二段便民路6号（新政务服务中心四楼）,2770万元,2770万元,240元,暂无,祥福镇桂通村1、12、14组土地公告,http://industrydown.fang.com/tudi/20161008/qinggongzituguagao[2016]5hao.docx,暂无,560万元,暂无
大同镇新峰村5组,地块编号：QBJ2015-99,四川,成都,45286,45286,45286,暂无,≥1,≤20,暂无,≥40,暂无,挂牌,50年,大同镇新峰村5组,大同镇新峰村5组,工业用地,已成交,成都华夏建设（集团）有限责任公司,2016/10/17,2016/10/31,2016/10/31,成都市青白江区凤凰大道二段便民路6号（新政务服务中心四楼）,1087万元,1087万元,240元,暂无,大同镇新峰村5组土地公告,http://industrydown.fang.com/tudi/20161008/qinggongzituguagao[2016]5hao.docx,暂无,220万元,暂无
大弯街道红旗村1组，黄金村7组,地块编号：QBJ2015-88,四川,成都,11898,11898,11898,暂无,≥1,≤20,暂无,≥40,暂无,挂牌,50年,大弯街道红旗村1组，黄金村7组,大弯街道红旗村1组，黄金村7组,工业用地,已成交,四川佰汇混凝土工程有限公司,2016/10/17,2016/10/31,2016/10/31,成都市青白江区凤凰大道二段便民路6号（新政务服务中心四楼）,286万元,286万元,240元,暂无,大弯街道红旗村1组，黄金村7组土地公告,http://industrydown.fang.com/tudi/20161008/qinggongzituguagao[2016]5hao.docx,暂无,60万元,暂无
民盛路以南、天星大道以东,地块编号：QBJ2016-35,四川,成都,11302,11302,11302,暂无,≥1,≤20,暂无,≥40,暂无,挂牌,50年,民盛路以南、天星大道以东,民盛路以南、天星大道以东,工业用地,已成交,四川中港保温材料有限公司,2016/10/17,2016/10/31,2016/10/31,成都市青白江区凤凰大道二段便民路6号（新政务服务中心四楼）,305万元,305万元,270元,暂无,民盛路以南、天星大道以东土地公告,http://industrydown.fang.com/tudi/20161008/qinggongzituguagao[2016]5hao.docx,暂无,70万元,暂无
弥牟镇国光路以南、东风路以西,地块编号：QBJ2016-31,四川,成都,72050,72050,72050,暂无,≥1,≤20,暂无,≥35,暂无,挂牌,50年,弥牟镇国光路以南、东风路以西,弥牟镇国光路以南、东风路以西,仓储用地,已成交,丰青仓储（成都）有限公司,2016/10/17,2016/10/31,2016/10/31,成都市青白江区凤凰大道二段便民路6号（新政务服务中心四楼）,4107万元,4107万元,570元,暂无,弥牟镇国光路以南、东风路以西土地公告,http://industrydown.fang.com/tudi/20161008/qinggongzituguagao[2016]5hao.docx,暂无,830万元,暂无
都江堰市玉堂镇永康社区1、2组,地块编号：DJY2016-22(252/211),四川,成都,65227,65227,136977,暂无,＞1且≤2.1,暂无,暂无,≤35,≤60,拍卖,住宅70年商业40年,都江堰市玉堂镇永康社区1、2组,都江堰市玉堂镇永康社区1、2组,城镇混合住宅用地、商业用地,已成交,大连万达商业地产股份有限公司,2016/10/27,2016/10/27,2016/10/27,成都市高新区天府大道北段966号天府国际金融中心7号楼,7534万元,7534万元,550元,暂无,都江堰市玉堂镇永康社区1、2组土地公告,http://industrydown.fang.com/tudi/20161008/chenggongzitupaigao[2016]36hao.docx,028-85987887,3800万元,暂无
都江堰市玉堂镇青城桥社区1、2组,地块编号：DJY2016-15(252/211),四川,成都,66346,66346,72981,暂无,＞1且≤1.1,暂无,暂无,≤35,≤15,拍卖,住宅70年商业40年,都江堰市玉堂镇青城桥社区1、2组,都江堰市玉堂镇青城桥社区1、2组,城镇混合住宅用地、商业用地,已成交,大连万达商业地产股份有限公司,2016/10/27,2016/10/27,2016/10/27,成都市高新区天府大道北段966号天府国际金融中心7号楼,6668万元,6668万元,914元,暂无,都江堰市玉堂镇青城桥社区1、2组土地公告,http://industrydown.fang.com/tudi/20161008/chenggongzitupaigao[2016]36hao.docx,028-85987887,3400万元,暂无
都江堰市玉堂镇永康社区1、2组,地块编号：DJY2016-20(211),四川,成都,6889,6889,6889,暂无,≤1,暂无,暂无,≤60,≤15,拍卖,商业40年,都江堰市玉堂镇永康社区1、2组,都江堰市玉堂镇永康社区1、2组,商业用地,已成交,大连万达商业地产股份有限公司,2016/10/27,2016/10/27,2016/10/27,成都市高新区天府大道北段966号天府国际金融中心7号楼,517万元,517万元,750元,暂无,都江堰市玉堂镇永康社区1、2组土地公告,http://industrydown.fang.com/tudi/20161008/chenggongzitupaigao[2016]36hao.docx,028-85987887,260万元,暂无
都江堰市玉堂镇青城桥社区3、4组,地块编号：DJY2016-06(252/211),四川,成都,39032,39032,89774,暂无,＞1且≤2.3,暂无,暂无,≤35,≤26,拍卖,住宅70年商业40年,都江堰市玉堂镇青城桥社区3、4组,都江堰市玉堂镇青城桥社区3、4组,城镇混合住宅用地、商业用地,已成交,大连万达商业地产股份有限公司,2016/10/27,2016/10/27,2016/10/27,成都市高新区天府大道北段966号天府国际金融中心7号楼,3923万元,3923万元,437元,暂无,都江堰市玉堂镇青城桥社区3、4组土地公告,http://industrydown.fang.com/tudi/20161008/chenggongzitupaigao[2016]36hao.docx,028-85987887,2000万元,暂无
都江堰市玉堂镇青城桥社区2、3、4组,地块编号：DJY2016-09(252/211),四川,成都,25445,25445,48345,暂无,＞1且≤1.9,暂无,暂无,≤35,≤26,拍卖,住宅70年商业40年,都江堰市玉堂镇青城桥社区2、3、4组,都江堰市玉堂镇青城桥社区2、3、4组,城镇混合住宅用地、商业用地,已成交,大连万达商业地产股份有限公司,2016/10/27,2016/10/27,2016/10/27,成都市高新区天府大道北段966号天府国际金融中心7号楼,2557万元,2557万元,529元,暂无,都江堰市玉堂镇青城桥社区2、3、4土地公告,http://industrydown.fang.com/tudi/20161008/chenggongzitupaigao[2016]36hao.docx,028-85987887,1300万元,暂无
都江堰市玉堂镇青城桥社区2组,地块编号：DJY2016-12(252/211),四川,成都,58215,58215,64036,暂无,＞1且≤1.1,暂无,暂无,≤35,≤26,拍卖,住宅70年商业40年,都江堰市玉堂镇青城桥社区2组,都江堰市玉堂镇青城桥社区2组,城镇混合住宅用地、商业用地,已成交,大连万达商业地产股份有限公司,2016/10/27,2016/10/27,2016/10/27,成都市高新区天府大道北段966号天府国际金融中心7号楼,5851万元,5851万元,914元,暂无,都江堰市玉堂镇青城桥社区2组土地公告,http://industrydown.fang.com/tudi/20161008/chenggongzitupaigao[2016]36hao.docx,028-85987887,3000万元,暂无
都江堰市玉堂镇青城桥社区1、2组,地块编号：DJY2016-17(252/211),四川,成都,68885,68885,75774,暂无,＞1且≤1.1,暂无,暂无,≤35,≤15,拍卖,住宅70年商业40年,都江堰市玉堂镇青城桥社区1、2组,都江堰市玉堂镇青城桥社区1、2组,城镇混合住宅用地、商业用地,已成交,大连万达商业地产股份有限公司,2016/10/27,2016/10/27,2016/10/27,成都市高新区天府大道北段966号天府国际金融中心7号楼,6923万元,6923万元,914元,暂无,都江堰市玉堂镇青城桥社区1、2组土地公告,http://industrydown.fang.com/tudi/20161008/chenggongzitupaigao[2016]36hao.docx,028-85987887,3500万元,暂无
都江堰市玉堂镇青城桥社区2组,地块编号：DJY2016-11(252/211),四川,成都,48071,48071,52878,暂无,＞1且≤1.1,暂无,暂无,≤35,地块一≤26，地块二≤40,拍卖,住宅70年商业40年,都江堰市玉堂镇青城桥社区2组,都江堰市玉堂镇青城桥社区2组,城镇混合住宅用地、商业用地,已成交,大连万达商业地产股份有限公司,2016/10/27,2016/10/27,2016/10/27,成都市高新区天府大道北段966号天府国际金融中心7号楼,4831万元,4831万元,914元,暂无,都江堰市玉堂镇青城桥社区2组土地公告,http://industrydown.fang.com/tudi/20161008/chenggongzitupaigao[2016]36hao.docx,028-85987887,2500万元,暂无
都江堰市玉堂镇青城桥社区1、2组,地块编号：DJY2016-14(252/211),四川,成都,68755,68755,75630,暂无,＞1且≤1.1,暂无,暂无,≤35,≤40,拍卖,住宅70年商业40年,都江堰市玉堂镇青城桥社区1、2组,都江堰市玉堂镇青城桥社区1、2组,城镇混合住宅用地、商业用地,已成交,大连万达商业地产股份有限公司,2016/10/27,2016/10/27,2016/10/27,成都市高新区天府大道北段966号天府国际金融中心7号楼,6910万元,6910万元,914元,暂无,都江堰市玉堂镇青城桥社区1、2组土地公告,http://industrydown.fang.com/tudi/20161008/chenggongzitupaigao[2016]36hao.docx,028-85987887,3500万元,暂无
都江堰市玉堂镇青城桥社区1组,地块编号：DJY2016-16(252/211),四川,成都,69267,69267,76194,暂无,＞1且≤1.1,暂无,暂无,≤35,≤15,拍卖,住宅70年商业40年,都江堰市玉堂镇青城桥社区1组,都江堰市玉堂镇青城桥社区1组,城镇混合住宅用地、商业用地,已成交,大连万达商业地产股份有限公司,2016/10/27,2016/10/27,2016/10/27,成都市高新区天府大道北段966号天府国际金融中心7号楼,6961万元,6961万元,914元,暂无,都江堰市玉堂镇青城桥社区1组土地公告,http://industrydown.fang.com/tudi/20161008/chenggongzitupaigao[2016]36hao.docx,028-85987887,3500万元,暂无
都江堰市玉堂镇青城桥社区1组,地块编号：DJY2016-18(252/211),四川,成都,69264,69264,76191,暂无,＞1且≤1.1,暂无,暂无,≤35,≤15,拍卖,住宅70年商业40年,都江堰市玉堂镇青城桥社区1组,都江堰市玉堂镇青城桥社区1组,城镇混合用地、商业用地,已成交,大连万达商业地产股份有限公司,2016/10/27,2016/10/27,2016/10/27,成都市高新区天府大道北段966号天府国际金融中心7号楼,6961万元,6961万元,914元,暂无,都江堰市玉堂镇青城桥社区1组土地公告,http://industrydown.fang.com/tudi/20161008/chenggongzitupaigao[2016]36hao.docx,028-85987887,3500万元,暂无
都江堰市玉堂镇青城桥社区2组,地块编号：DJY2016-10(252/211),四川,成都,48664,48664,53530,暂无,＞1且≤1.1,暂无,暂无,≤35,≤40,拍卖,住宅70年商业40年,都江堰市玉堂镇青城桥社区2组,都江堰市玉堂镇青城桥社区2组,城镇混合住宅用地、商业用地,已成交,大连万达商业地产股份有限公司,2016/10/27,2016/10/27,2016/10/27,成都市高新区天府大道北段966号天府国际金融中心7号楼,4891万元,4891万元,914元,暂无,都江堰市玉堂镇青城桥社区2组土地公告,http://industrydown.fang.com/tudi/20161008/chenggongzitupaigao[2016]36hao.docx,028-85987887,2500万元,暂无
都江堰市玉堂镇青城桥社区2、4组,地块编号：DJY2016-08(252/211),四川,成都,48159,48159,110765,暂无,＞1且≤2.3,暂无,暂无,≤35,≤40,拍卖,住宅70年商业40年,都江堰市玉堂镇青城桥社区2、4组,都江堰市玉堂镇青城桥社区2、4组,城镇混合住宅用地、商业用地,已成交,大连万达商业地产股份有限公司,2016/10/27,2016/10/27,2016/10/27,成都市高新区天府大道北段966号天府国际金融中心7号楼,4840万元,4840万元,437元,暂无,都江堰市玉堂镇青城桥社区2、4组土地公告,http://industrydown.fang.com/tudi/20161008/chenggongzitupaigao[2016]36hao.docx,028-85987887,2500万元,暂无
都江堰市玉堂镇青城桥社区2、4组,地块编号：DJY2016-07(252/211),四川,成都,32272,32272,74226,暂无,＞1且≤2.3,暂无,暂无,≤35,≤26,拍卖,住宅70年商业40年,都江堰市玉堂镇青城桥社区2、4组,都江堰市玉堂镇青城桥社区2、4组,城镇混合住宅用地、商业用地,已成交,大连万达商业地产股份有限公司,2016/10/27,2016/10/27,2016/10/27,成都市高新区天府大道北段966号天府国际金融中心7号楼,3243万元,3243万元,437元,暂无,都江堰市玉堂镇青城桥社区2、4组土地公告,http://industrydown.fang.com/tudi/20161008/chenggongzitupaigao[2016]36hao.docx,028-85987887,1700万元,暂无
都江堰市玉堂镇永康社区2、3、4组,地块编号：DJY2016-19(211),四川,成都,15837,15837,15837,暂无,≤1,暂无,暂无,≤60,≤15,拍卖,商业40年,都江堰市玉堂镇永康社区2、3、4组,都江堰市玉堂镇永康社区2、3、4组,商业用地,已成交,大连万达商业地产股份有限公司,2016/10/27,2016/10/27,2016/10/27,成都市高新区天府大道北段966号天府国际金融中心7号楼,926万元,926万元,585元,暂无,都江堰市玉堂镇永康社区2、3、4组土地公告,http://industrydown.fang.com/tudi/20161008/chenggongzitupaigao[2016]36hao.docx,028-85987887,500万元,暂无
都江堰市玉堂镇青城桥社区2组,地块编号：DJY2016-13(252/211),四川,成都,37429,37429,41171,暂无,＞1且≤1.1,暂无,暂无,≤35,≤40,拍卖,住宅70年商业40年,都江堰市玉堂镇青城桥社区2组,都江堰市玉堂镇青城桥社区2组,城镇混合住宅用地、商业用地,已成交,大连万达商业地产股份有限公司,2016/10/27,2016/10/27,2016/10/27,成都市高新区天府大道北段966号天府国际金融中心7号楼,3762万元,3762万元,914元,暂无,都江堰市玉堂镇青城桥社区2组土地公告,http://industrydown.fang.com/tudi/20161008/chenggongzitupaigao[2016]36hao.docx,028-85987887,1900万元,暂无
都江堰市玉堂镇永康社区2、3组，白玉社区6组,地块编号：DJY2016-21(252/211),四川,成都,41955,41955,88105,暂无,＞1且≤2.1,暂无,暂无,≤35,≤60,拍卖,住宅70年商业40年,都江堰市玉堂镇永康社区2、3组，白玉社区6组,都江堰市玉堂镇永康社区2、3组，白玉社区6组,城镇混合住宅用地、商业用地,已成交,大连万达商业地产股份有限公司,2016/10/27,2016/10/27,2016/10/27,成都市高新区天府大道北段966号天府国际金融中心7号楼,4846万元,4846万元,550元,暂无,都江堰市玉堂镇永康社区2、3组，白土地公告,http://industrydown.fang.com/tudi/20161008/chenggongzitupaigao[2016]36hao.docx,028-85987887,2500万元,暂无
金华镇红岩村4组、清凉村8组,地块编号：新地挂[2016]-11号,四川,成都,16020,16020,12816,暂无,≥0.8,暂无,暂无,暂无,暂无,挂牌,50年,金华镇红岩村4组、清凉村8组,金华镇红岩村4组、清凉村8组,工业用地,未成交,暂无,2016/10/13,2016/10/26,暂无,新津县公共资源交易服务中心A区四楼(迎宾大道234号),288万元,暂无,暂无,暂无,金华镇红岩村4组、清凉村8组土地公告,http://industrydown.fang.com/tudi/20160926/xindiguagongzigao[2016]04hao.docx,暂无,80万元,24.0294
金华镇红岩村1组,地块编号：新地挂[2016]-8号,四川,成都,12502,12502,12502,暂无,≥1,暂无,暂无,暂无,暂无,挂牌,50年,金华镇红岩村1组,金华镇红岩村1组,工业用地,未成交,暂无,2016/10/13,2016/10/26,暂无,新津县公共资源交易服务中心A区四楼(迎宾大道234号),225万元,暂无,暂无,暂无,金华镇红岩村1组土地公告,http://industrydown.fang.com/tudi/20160926/xindiguagongzigao[2016]04hao.docx,暂无,60万元,18.7533
邓双镇董河村1组、2组,地块编号：新地挂[2016]-10号,四川,成都,107067,107067,107067,暂无,≥1,≤10,暂无,≥40,暂无,挂牌,50年,邓双镇董河村1组、2组,邓双镇董河村1组、2组,工业用地,未成交,暂无,2016/10/13,2016/10/26,暂无,新津县公共资源交易服务中心A区四楼(迎宾大道234号),1927万元,暂无,暂无,暂无,邓双镇董河村1组、2组土地公告,http://industrydown.fang.com/tudi/20160926/xindiguagongzigao[2016]04hao.docx,暂无,490万元,160.6007
金华镇清凉村8组、宝峰村4组,地块编号：新地挂[2016]-9号,四川,成都,39990,39990,39990,暂无,≥1,暂无,暂无,暂无,暂无,挂牌,50年,金华镇清凉村8组、宝峰村4组,金华镇清凉村8组、宝峰村4组,工业用地,未成交,暂无,2016/10/13,2016/10/26,暂无,新津县公共资源交易服务中心A区四楼(迎宾大道234号),720万元,暂无,暂无,暂无,金华镇清凉村8组、宝峰村4组土地公告,http://industrydown.fang.com/tudi/20160926/xindiguagongzigao[2016]04hao.docx,暂无,180万元,59.9847
高新区石羊街道庆云村五组,地块编号：GX2016-15（214）,四川,成都,5400,5400,16200,暂无,≤3,暂无,暂无,≤54,≤44.91,挂牌,40年,高新区石羊街道庆云村五组,高新区石羊街道庆云村五组,其他商服用地,已成交,成都领先蔚来科技有限公司,2016/10/8,2016/10/19,2016/10/19,成都市高新区天府大道北段966号天府国际金融中心7号楼,1709万元,1709万元,1055元,暂无,高新区石羊街道庆云村五组土地公告,http://industrydown.fang.com/tudi/20160919/chenggongzituguagao[2016]25hao.docx,028-85987887,500万元,暂无
天府新区新兴街道油坊村九组，孔雀村五、九、十组,地块编号：TF（061）：2016-26,四川,成都,66936,66936,67000,暂无,≥1,暂无,暂无,≥40,暂无,挂牌,50年,天府新区新兴街道油坊村九组，孔雀村五、九、十组,天府新区新兴街道油坊村九组，孔雀村五、九、十组,工业用地,已成交,四川中德禄江装备科技有限公司,2016/10/8,2016/10/19,2016/10/19,成都市高新区天府大道北段966号天府国际金融中心7号楼,1606万元,1606万元,240元,暂无,天府新区新兴街道油坊村九组，孔雀村土地公告,http://industrydown.fang.com/tudi/20160919/chenggongzituguagao[2016]25hao.docx,028-85987887,410万元,暂无
高新区中和街道观东村一、二组，龙灯山村十二组,地块编号：GX2016-01（211/214）,四川,成都,21350,21350,42701,暂无,≥1且≤2,暂无,≤40,≤40,≤50,挂牌,40年,高新区中和街道观东村一、二组，龙灯山村十二组,高新区中和街道观东村一、二组，龙灯山村十二组,其他商服用地、商业用地,已成交,成都时尚星际文化传媒有限公司,2016/10/8,2016/10/19,2016/10/19,成都市高新区天府大道北段966号天府国际金融中心7号楼,5496万元,5496万元,1287元,暂无,高新区中和街道观东村一、二组，龙灯土地公告,http://industrydown.fang.com/tudi/20160919/chenggongzituguagao[2016]25hao.docx,028-85987887,1600万元,暂无
