标题,地块编号,省份,城市,总面积,建设用地面积,规划建筑面积,代征面积,容积率,绿化率,商业比例,建筑密度,限制高度,出让形式,出让年限,位置,四至,规划用途,交易状况,竞得方,起始日期,截止日期,成交日期,交易低点,起始价,成交价,楼面地价,溢价率,土地公告,咨询电话,保证金,最小加价幅度,
崇阳镇彭庙村1组,地块编号：CGZ15-63,四川,成都,2966,2966,3856,暂无,≥1.3,暂无,暂无,≥35且≤55,暂无,挂牌,50年,崇阳镇彭庙村1组,崇阳镇彭庙村1组,工业用地,已成交,四川光正家居用品有限责任公司,2015/12/29,2016/1/12,2016/1/12,崇州市公共资源交易服务中心,53万元,53万元,138元,暂无,崇阳镇彭庙村1组土地公告,http://industrydown.fang.com/tudi/20151214/chonggongzituguagao[2015]06hao.docx,暂无,17万元,暂无
桤泉镇灵通4组,地块编号：CGZ15-62,四川,成都,16181,16181,24271,暂无,≥0.8且≤1.5,暂无,暂无,≥35,暂无,挂牌,50年,桤泉镇灵通4组,桤泉镇灵通4组,工业用地,已成交,高科农种子有限公司,2015/12/29,2016/1/12,2016/1/12,崇州市公共资源交易服务中心,291万元,364万元,150元,25.00%,桤泉镇灵通4组土地公告,http://industrydown.fang.com/tudi/20151214/chonggongzituguagao[2015]06hao.docx,暂无,110万元,暂无
崇阳镇石埂村6、8组,地块编号：CGZ15-66,四川,成都,27934,27934,36314,暂无,≥1.3,暂无,暂无,≥35且≤55,暂无,挂牌,50年,崇阳镇石埂村6、8组,崇阳镇石埂村6、8组,工业用地,已成交,成都晨宇家具有限公司,2015/12/29,2016/1/12,2016/1/12,崇州市公共资源交易服务中心,503万元,503万元,138元,暂无,崇阳镇石埂村6、8组土地公告,http://industrydown.fang.com/tudi/20151214/chonggongzituguagao[2015]06hao.docx,暂无,151万元,暂无
龙泉驿区大面街道经开区南四路以南、车城西四路以西,地块编号：LGG2015-26（DM10）,四川,成都,37456,37456,37456,暂无,＞1,≤20,暂无,≥40,暂无,挂牌,50年,龙泉驿区大面街道经开区南四路以南、车城西四路以西,龙泉驿区大面街道经开区南四路以南、车城西四路以西,工业用地,已成交,成都宏亿实业集团有限公司,2015/12/24,2016/1/7,2016/1/7,成都市龙泉驿区龙泉街道北泉路777号6楼,983万元,983万元,263元,暂无,龙泉驿区大面街道经开区南四路以南、土地公告,http://industrydown.fang.com/tudi/20151209/longgongzituguagao[2015]05hao.docx,028-61430609,300万元,暂无
龙泉驿区柏合镇经开区南四路以北、芦溪河以东,地块编号：LGG2015-27（BH17）,四川,成都,17276,17276,17276,暂无,≥1,≤20,暂无,≥40,暂无,挂牌,50年,龙泉驿区柏合镇经开区南四路以北、芦溪河以东,龙泉驿区柏合镇经开区南四路以北、芦溪河以东,工业用地,已成交,成都德通汽车零部件有限公司,2015/12/24,2016/1/7,2016/1/7,成都市龙泉驿区龙泉街道北泉路777号6楼,415万元,415万元,240元,暂无,龙泉驿区柏合镇经开区南四路以北、芦土地公告,http://industrydown.fang.com/tudi/20151209/longgongzituguagao[2015]05hao.docx,028-61430609,125万元,暂无
羊安镇樊哙村10、12组,地块编号：QL-2015-20#,四川,成都,889,889,622,暂无,大于或等于0.7,暂无,暂无,大于或等于40,暂无,挂牌,50年,羊安镇樊哙村10、12组,羊安镇樊哙村10、12组,工业用地,已成交,四川科伦药业股份有限公司邛崃分公司,2015/12/28,2016/1/6,2016/1/6,四川省邛崃市临邛镇凤凰大道168号公共资源交易服务中心,11万元,11万元,171元,暂无,羊安镇樊哙村10、12组土地公告,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=0e5cd3a1-2a4d-40be-b9e1-41f8f94f85d8&sitePath=,028-88767755,3万元,0.5
临济镇黄庙社区1、4、9组,地块编号：QL-2015-68#,四川,成都,12850,12850,12850,暂无,大于或等于1,暂无,暂无,大于或等于40,暂无,挂牌,50年,临济镇黄庙社区1、4、9组,临济镇黄庙社区1、4、9组,工业用地,已成交,成都市碧涛茶业有限公司,2015/12/28,2016/1/6,2016/1/6,四川省邛崃市临邛镇凤凰大道168号公共资源交易服务中心,347万元,347万元,270元,暂无,临济镇黄庙社区1、4、9组土地公告,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=0e5cd3a1-2a4d-40be-b9e1-41f8f94f85d8&sitePath=,028-88767755,87万元,0.5
临邛镇渔箭社区集体,地块编号：QL-2015-60#,四川,成都,18665,18665,18665,暂无,大于或等于1,暂无,暂无,大于或等于40,暂无,挂牌,50年,临邛镇渔箭社区集体,临邛镇渔箭社区集体,工业用地,已成交,成都平原投资有限公司,2015/12/28,2016/1/6,2016/1/6,四川省邛崃市临邛镇凤凰大道168号公共资源交易服务中心,336万元,336万元,180元,暂无,临邛镇渔箭社区集体土地公告,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=0e5cd3a1-2a4d-40be-b9e1-41f8f94f85d8&sitePath=,028-88767755,84万元,0.5
夹关镇龚店村10、11组,地块编号：QL-2015-69#,四川,成都,20001,20001,20001,暂无,大于或等于1,暂无,暂无,大于或等于40,暂无,挂牌,50年,夹关镇龚店村10、11组,夹关镇龚店村10、11组,工业用地,已成交,成都市金川茶业有限公司,2015/12/28,2016/1/6,2016/1/6,四川省邛崃市临邛镇凤凰大道168号公共资源交易服务中心,540万元,540万元,270元,暂无,夹关镇龚店村10、11组土地公告,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=0e5cd3a1-2a4d-40be-b9e1-41f8f94f85d8&sitePath=,028-88767755,135万元,0.5
羊安镇樊哙村10、12组,地块编号：QL-2015-67#,四川,成都,7030,7030,4921,暂无,大于或等于0.7,暂无,暂无,大于或等于40,暂无,挂牌,50年,羊安镇樊哙村10、12组,羊安镇樊哙村10、12组,工业用地,已成交,四川科伦药业股份有限公司邛崃分公司,2015/12/28,2016/1/6,2016/1/6,四川省邛崃市临邛镇凤凰大道168号公共资源交易服务中心,84万元,84万元,171元,暂无,羊安镇樊哙村10、12组土地公告,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=0e5cd3a1-2a4d-40be-b9e1-41f8f94f85d8&sitePath=,028-88767755,21万元,0.5
